Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
29-October-2018,1047.70,1093.15,1047.00,1088.00,1071.352596622980388788,535561,12329,573774668.00,114234,21.33,46.15,40.30
26-October-2018,1040.00,1056.75,1022.15,1044.70,1043.700571887227851911,647855,14144,676166634.00,89817,13.86,34.60,4.70
25-October-2018,1036.00,1040.05,1017.00,1030.20,1029.148342577121871792,704437,17801,724970171.00,193416,27.46,23.05,-5.80
24-October-2018,1074.00,1074.95,1031.00,1046.60,1049.174530456396895426,584557,13935,613302316.00,160476,27.45,43.95,-27.40
23-October-2018,1053.00,1064.50,1043.70,1052.60,1053.389206468383302333,527427,12615,555585909.00,141338,26.80,20.80,-0.40
22-October-2018,1111.00,1114.80,1057.35,1062.45,1081.490803836838474791,646574,19144,699263835.00,211879,32.77,57.45,-48.55
19-October-2018,1103.90,1110.00,1073.15,1101.65,1091.483717483717483717,1461537,29562,1595243838.00,655286,44.84,36.85,-2.25
17-October-2018,1180.00,1180.95,1141.00,1148.90,1168.247769947962584816,1452993,15094,1697455832.00,898169,61.82,39.95,-31.10
16-October-2018,1146.15,1168.00,1140.80,1163.65,1155.505975898322528415,464449,11757,536673595.00,118255,25.46,27.20,17.50
15-October-2018,1133.30,1146.35,1119.25,1139.80,1137.466520180409390540,397762,12777,452440958.00,75084,18.88,27.10,6.50
12-October-2018,1102.50,1129.00,1102.00,1126.40,1121.248509316213259688,446104,11160,500193445.00,104315,23.38,27.00,23.90
11-October-2018,1067.80,1114.40,1043.05,1089.20,1086.152927173741208810,765397,17702,831338192.00,142520,18.62,71.35,21.40
10-October-2018,1095.00,1114.70,1085.10,1102.35,1101.459998171570892396,404719,10879,445781789.00,67328,16.64,29.60,7.35
9-October-2018,1121.10,1123.50,1080.75,1090.40,1103.029464789640881750,620130,16031,684021662.00,125017,20.16,42.75,-30.70
8-October-2018,1048.85,1115.35,1025.20,1107.95,1083.820858327684397061,1330634,31974,1442168884.00,276727,20.80,90.15,59.10
5-October-2018,1102.60,1115.55,1039.55,1049.85,1078.781661904896851220,1164483,37869,1256222906.00,271825,23.34,76.00,-52.75
4-October-2018,1199.00,1199.00,1105.05,1120.55,1140.900705335074634920,1482416,42726,1691289460.00,459995,31.03,93.95,-78.45
3-October-2018,1233.10,1239.75,1198.70,1205.30,1216.429484156209850355,430421,11873,523576795.00,130256,30.26,41.05,-27.80
1-October-2018,1258.20,1260.00,1204.30,1231.55,1227.095172534126505941,366797,9965,450094828.00,66461,18.12,55.70,-26.65
28-September-2018,1260.00,1271.10,1247.65,1258.20,1256.213811332866299829,648062,12202,814104435.00,339361,52.37,23.45,-1.80
27-September-2018,1259.80,1263.25,1238.60,1252.90,1251.819547694433102994,389427,9977,487492331.00,85334,21.91,24.65,-6.90
26-September-2018,1235.20,1254.10,1226.80,1251.75,1240.607314509083909560,337685,8887,418934481.00,131410,38.91,27.30,16.55
25-September-2018,1233.30,1244.90,1195.75,1230.60,1226.820889955240130650,396784,14124,486782900.00,73170,18.44,49.15,-2.70
24-September-2018,1216.00,1239.90,1204.25,1232.30,1224.787549459595825477,451884,14400,553461897.00,192393,42.58,35.65,16.30
21-September-2018,1220.05,1237.10,1183.20,1216.85,1223.288332238630986432,566364,14105,692826473.00,202323,35.72,53.90,-3.20
19-September-2018,1225.00,1227.00,1201.20,1210.30,1210.645654344494496818,861320,13027,1042753315.00,501202,58.19,25.80,-14.70
18-September-2018,1224.00,1238.90,1214.25,1217.20,1228.184924383378655598,314415,9624,386159763.00,81647,25.97,24.65,-6.80
17-September-2018,1251.90,1251.90,1220.50,1226.25,1233.111595644575883855,371950,10206,458655858.00,100654,27.06,31.40,-25.65
14-September-2018,1261.00,1275.00,1248.55,1252.80,1257.863695068483839173,294230,7446,370101235.00,79267,26.94,26.45,-8.20
12-September-2018,1244.45,1257.65,1229.85,1252.70,1243.499809486484426880,459285,9593,571120810.00,62561,13.62,27.80,8.25
11-September-2018,1260.00,1267.75,1235.00,1238.45,1252.894717573936206543,366025,9979,458590789.00,82487,22.54,32.75,-21.55
10-September-2018,1275.00,1276.75,1251.55,1257.15,1263.687195223136694333,343489,9264,434062651.00,71284,20.75,25.20,-17.85
7-September-2018,1267.70,1279.90,1254.85,1276.75,1271.423463983050847457,430464,10897,547302030.00,91640,21.29,25.05,9.05
6-September-2018,1230.00,1263.80,1226.00,1260.15,1245.310056910380016781,558949,12177,696064811.00,102255,18.29,37.80,30.15
5-September-2018,1245.00,1252.45,1210.00,1225.80,1228.889420920613299224,1203980,17285,1479558285.00,596628,49.55,42.45,-19.20
4-September-2018,1235.00,1254.75,1230.00,1242.35,1241.189098129289351339,433632,10816,538219311.00,65432,15.09,24.75,7.35
3-September-2018,1249.00,1258.00,1227.50,1230.40,1244.617672812399915796,1220847,12950,1519487752.00,793456,64.99,30.50,-18.60
31-August-2018,1273.80,1273.80,1237.05,1240.95,1251.350399213721861896,1284024,14772,1606763945.00,900813,70.16,36.75,-32.85
30-August-2018,1300.00,1300.00,1270.45,1274.10,1278.056379830189254935,1802595,11065,2303818040.00,1472726,81.70,29.55,-25.90
29-August-2018,1319.00,1328.75,1290.30,1294.45,1309.211051735892640880,570571,15437,746997859.00,137151,24.04,38.45,-24.55
28-August-2018,1298.75,1323.00,1295.50,1318.20,1310.944019012410879324,484736,12158,635461760.00,115900,23.91,27.50,19.45
27-August-2018,1280.05,1296.20,1280.00,1291.60,1290.466958294255467152,288953,7343,372884299.00,68974,23.87,16.20,11.55
24-August-2018,1265.00,1280.00,1260.90,1278.05,1272.662423917266386694,378371,8861,481538554.00,90844,24.01,19.10,13.05
23-August-2018,1244.00,1273.55,1238.60,1269.70,1260.235398477986834119,364123,10008,458880694.00,103036,28.30,34.95,25.70
21-August-2018,1236.00,1251.00,1227.15,1246.50,1242.412719812700652837,427978,8444,531725311.00,169337,39.57,23.85,10.50
20-August-2018,1206.50,1238.05,1206.50,1234.90,1225.519727149481680214,561333,11226,687924665.00,232771,41.47,31.55,28.40
17-August-2018,1206.00,1215.00,1200.25,1203.45,1208.405919285329032460,190969,4483,230768070.00,44000,23.04,14.75,-2.55
16-August-2018,1206.40,1215.70,1196.25,1200.20,1204.831678029823266101,323707,6759,390012448.00,93709,28.95,19.45,-6.20
14-August-2018,1187.20,1216.40,1185.25,1210.95,1203.726430011148129573,313057,7748,376834985.00,80767,25.80,31.15,23.75
13-August-2018,1203.00,1203.00,1183.05,1187.15,1191.402455997458078432,223453,5606,266222453.00,59977,26.84,19.95,-15.85
10-August-2018,1215.00,1215.30,1201.95,1204.00,1207.810167272557247893,171098,4431,206653904.00,52765,30.84,13.35,-11.00
9-August-2018,1220.00,1231.50,1212.00,1217.95,1222.695549185988213147,528555,9232,646261846.00,295581,55.92,19.50,-2.05
8-August-2018,1188.40,1222.00,1186.00,1217.25,1205.056108083893130250,477703,13587,575658918.00,142777,29.89,36.00,28.85
7-August-2018,1196.00,1200.00,1178.30,1183.55,1185.552248457127642376,210322,4989,249347720.00,60982,28.99,21.70,-12.45
6-August-2018,1180.00,1196.00,1174.85,1191.50,1187.699622666860745037,267933,5794,318223923.00,60281,22.50,21.15,11.50
3-August-2018,1175.00,1183.85,1169.50,1176.75,1176.319454407207620796,278816,6056,327976685.00,75712,27.15,14.35,1.75
2-August-2018,1192.35,1194.50,1166.00,1168.35,1173.962170127642004399,280942,8169,329815280.00,62971,22.41,28.50,-24.00
1-August-2018,1195.00,1202.95,1185.95,1191.15,1193.344517013463892288,510625,11470,609351544.00,117387,22.99,17.00,-3.85
31-July-2018,1150.00,1190.00,1145.00,1185.85,1174.096106296918354018,1165189,15180,1368043868.00,642377,55.13,45.00,35.85
30-July-2018,1136.00,1157.55,1126.60,1149.70,1143.088598454255844214,713184,16271,815232499.00,166693,23.37,30.95,13.70
27-July-2018,1117.20,1137.00,1112.80,1129.60,1127.607317133143032137,447361,9677,504447537.00,132729,29.67,24.20,12.40
26-July-2018,1113.00,1121.00,1107.70,1110.35,1114.832218817357882982,154028,4490,171715377.00,60309,39.15,13.30,-2.65
25-July-2018,1112.25,1122.30,1104.55,1114.05,1116.138707973284027017,265010,5802,295787919.00,102790,38.79,17.75,1.80
24-July-2018,1122.00,1126.10,1107.65,1110.55,1115.066007184232672213,305391,5790,340531123.00,135804,44.47,18.45,-11.45
23-July-2018,1129.70,1130.00,1114.00,1120.15,1119.628889428918590522,205750,4704,230363644.00,69915,33.98,16.00,-9.55
20-July-2018,1110.50,1138.25,1110.50,1128.55,1125.243468568781179988,446801,12094,502759907.00,109831,24.58,27.75,18.05
19-July-2018,1095.00,1114.00,1086.80,1103.90,1094.773153238319341546,778552,9443,852337828.00,475172,61.03,27.20,8.90
18-July-2018,1097.90,1104.50,1079.00,1090.55,1091.012232898888342492,278593,6239,303948371.00,68116,24.45,25.50,-7.35
17-July-2018,1079.00,1095.00,1069.15,1091.70,1085.885690960883762940,287860,7215,312583055.00,65358,22.70,25.85,12.70
16-July-2018,1098.05,1108.50,1073.00,1076.15,1081.986070422251515714,446819,10297,483451934.00,92236,20.64,35.50,-21.90
13-July-2018,1082.90,1107.25,1080.90,1096.75,1097.389221721226647577,874481,18901,959646024.00,151061,17.27,26.35,13.85
12-July-2018,1043.15,1098.80,1043.15,1082.20,1080.071253870827459598,1370508,31087,1480246294.00,354404,25.86,55.65,39.05
11-July-2018,1025.00,1038.70,1017.00,1036.35,1029.927221081130395973,405557,10212,417694194.00,94709,23.35,21.70,11.35
10-July-2018,1001.50,1028.50,1001.50,1025.75,1018.882584797504116701,610926,15491,622461862.00,284106,46.50,27.00,24.25
9-July-2018,985.50,998.70,983.30,995.65,992.302394762693214202,288087,7756,285869420.00,96762,33.59,15.40,10.15
6-July-2018,965.90,982.45,964.80,976.50,976.977776325055789476,336533,7663,328785262.00,78509,23.33,17.65,10.60
5-July-2018,998.70,1008.50,960.10,965.00,986.866420584706856092,1290356,25652,1273409007.00,339478,26.31,48.40,-33.70
4-July-2018,974.80,992.00,972.00,990.05,983.211169475991469697,337151,6750,331490629.00,100560,29.83,20.00,15.25
3-July-2018,964.00,978.25,961.00,971.60,972.204052317229908520,224859,4442,218608831.00,48814,21.71,17.25,7.60
2-July-2018,973.00,973.50,957.55,961.05,962.492354930793772638,208435,4397,200617094.00,44981,21.58,15.95,-11.95
29-June-2018,952.00,977.75,949.70,972.95,966.319314186580868217,325103,8350,314153308.00,91440,28.13,28.05,20.95
28-June-2018,965.05,969.00,941.35,944.70,953.806090204973000301,284818,6887,271661143.00,102753,36.08,27.65,-20.35
27-June-2018,980.00,985.75,960.50,965.30,972.718386065583029289,354116,8206,344455144.00,126179,35.63,25.25,-14.70
26-June-2018,1003.60,1005.05,975.50,978.70,986.145090544350466276,368880,9260,363769201.00,133718,36.25,29.55,-24.90
25-June-2018,1017.00,1017.00,1001.95,1003.55,1008.548410651291582900,210904,3934,212706894.00,59013,27.98,15.05,-13.45
22-June-2018,1030.00,1030.00,1008.60,1012.30,1011.994750765018824008,6655065,8066,6734890846.00,6219923,93.46,21.40,-17.70
21-June-2018,1023.00,1035.80,1020.40,1032.35,1030.332160789317921468,444333,9542,457810580.00,147825,33.27,15.40,9.35
20-June-2018,996.50,1021.75,996.00,1019.95,1015.903655206197511960,340911,6983,346332731.00,97011,28.46,25.75,23.45
19-June-2018,1015.00,1015.00,993.05,995.65,1002.346721765648858190,236423,7261,236977819.00,94910,40.14,21.95,-19.35
18-June-2018,1010.80,1018.60,1007.70,1015.00,1014.042933161883395803,292408,5158,296514266.00,132923,45.46,10.90,4.20
15-June-2018,1007.50,1023.50,999.75,1013.85,1015.999714241432086328,412936,13182,419542858.00,146759,35.54,23.75,6.35
14-June-2018,996.20,1011.70,988.20,1007.50,1002.799912261610033463,294056,6461,294879331.00,108044,36.74,23.50,11.30
13-June-2018,999.00,1004.90,990.00,1002.10,999.186076825939956821,343686,7975,343406266.00,125598,36.54,14.90,3.10
12-June-2018,982.20,998.00,980.45,995.40,990.892382173562821587,243324,5183,241107898.00,92668,38.08,17.55,13.20
11-June-2018,984.35,999.50,978.20,982.45,993.511780280823826777,832408,7753,827007154.00,682713,82.02,21.30,-1.90
8-June-2018,968.90,986.50,960.55,983.40,974.264816657591858958,266305,5951,259451592.00,94254,35.39,25.95,14.50
7-June-2018,955.00,975.60,955.00,971.40,970.583696735892455065,329983,7317,320276120.00,145324,44.04,20.60,16.40
6-June-2018,948.90,955.40,942.55,953.40,952.240181400463845123,183682,4254,174909381.00,85289,46.43,12.85,4.50
5-June-2018,941.25,955.00,941.20,947.85,949.147687343009857339,289429,6501,274710866.00,121237,41.89,13.80,6.60
4-June-2018,934.80,943.75,932.00,939.35,939.162881165721294867,1868577,8483,1754898159.00,105184,5.63,11.75,4.55
1-June-2018,921.30,934.90,919.10,929.20,928.297577551998230893,2034925,5546,1889015948.00,1852911,91.06,15.80,7.90
31-May-2018,919.35,924.00,916.50,921.30,921.284894667758262715,2016619,7010,1857880623.00,815070,40.42,7.50,1.95
30-May-2018,914.00,922.80,907.10,917.35,916.664461335849760973,482165,5720,441983520.00,208916,43.33,15.70,3.35
29-May-2018,920.05,927.90,914.15,917.00,919.990905052797311976,227379,4026,209186612.00,63569,27.96,13.75,-3.05
28-May-2018,923.55,927.15,918.95,921.00,922.220518379117651622,1353411,4338,1248143394.00,333915,24.67,8.20,-2.55
25-May-2018,918.05,924.25,915.60,921.75,920.532244063460154652,175102,3836,161187037.00,72906,41.64,8.65,3.70
24-May-2018,916.70,920.95,910.85,916.05,916.529192734103755388,238484,4963,218577548.00,80733,33.85,10.10,-0.65
23-May-2018,927.00,927.10,909.05,912.25,917.512366170713744099,275631,9609,252894851.00,118402,42.96,18.05,-14.75
22-May-2018,933.00,934.20,924.50,926.90,929.621822033898305084,220896,5801,205349742.00,80243,36.33,9.70,-6.10
21-May-2018,932.00,935.40,922.00,931.95,927.531718386712080784,233114,5205,216220629.00,92122,39.52,13.40,-0.05
18-May-2018,946.00,953.55,931.50,933.40,941.189844231748840451,484887,8371,456370720.00,265293,54.71,22.05,-12.60
17-May-2018,959.90,960.70,942.50,945.15,949.041759167870949861,1414396,6860,1342320868.00,459082,32.46,18.20,-14.75
16-May-2018,976.30,976.30,954.40,956.45,961.539132749186011502,1288716,7546,1239150865.00,299595,23.25,21.90,-19.85
15-May-2018,980.00,999.30,977.00,979.35,991.202571272163454761,305063,7562,302379230.00,110871,36.34,22.30,-0.65
14-May-2018,993.90,993.90,976.40,984.85,983.688782776241936835,167118,5265,164392102.00,52045,31.14,17.50,-9.05
11-May-2018,982.80,990.15,977.25,988.50,984.938234677963734549,343688,7210,338511452.00,140530,40.89,12.90,5.70
10-May-2018,977.10,984.00,974.50,980.70,980.337279733961757002,319954,8042,313662834.00,123112,38.48,9.50,3.60
9-May-2018,967.65,982.65,962.00,975.30,975.197030501200327280,333659,5265,325383266.00,96837,29.02,20.65,7.65
8-May-2018,973.55,982.00,965.15,967.65,973.739739535214270485,337704,6241,328835805.00,128504,38.05,16.85,-5.90
7-May-2018,958.00,974.00,956.50,971.85,964.644672944073322541,350888,11165,338482240.00,166744,47.52,17.50,13.85
4-May-2018,963.95,964.50,949.65,953.90,954.609350048130157299,179721,6037,171563347.00,78990,43.95,14.85,-10.05
3-May-2018,977.00,978.80,959.30,962.60,963.481683115714205351,319978,6539,308292942.00,142283,44.47,19.50,-14.40
2-May-2018,968.80,978.20,966.25,973.00,973.458405143200170407,309846,9705,301622193.00,99902,32.24,11.95,4.20
30-April-2018,984.70,992.00,961.00,963.10,969.730680196837783536,549488,14823,532855372.00,153539,27.94,31.00,-21.60
27-April-2018,988.25,1010.70,988.25,994.75,998.945870012254015958,1092703,19151,1091551149.00,433861,39.71,22.45,6.50
26-April-2018,972.00,988.00,963.40,975.35,977.860782880884131067,530962,11869,519206917.00,145526,27.41,24.60,3.35
25-April-2018,972.55,981.45,964.50,970.70,971.498738777707513969,425381,7326,413257105.00,121573,28.58,16.95,-1.85
24-April-2018,937.70,974.50,935.00,969.75,959.968820653236847252,511300,11378,490832058.00,154076,30.13,39.50,32.05
23-April-2018,927.30,942.95,926.00,935.15,935.314811788076139706,159076,3460,148786139.00,45987,28.91,16.95,7.85
20-April-2018,939.00,941.60,921.45,928.05,927.183351479113741473,214926,3479,199275809.00,100231,46.64,20.15,-10.95
19-April-2018,938.20,943.95,935.10,941.25,940.753225784419522723,366035,3423,344348607.00,183260,50.07,8.85,3.05
18-April-2018,945.00,948.25,934.00,937.00,939.485787397169641510,205557,2922,193117880.00,112215,54.59,14.25,-8.00
17-April-2018,938.25,947.50,936.10,943.70,941.844371396090999986,365055,6860,343824997.00,183393,50.24,11.40,5.45
16-April-2018,935.00,939.90,928.30,937.25,933.044785738028532083,147413,2950,137542931.00,74326,50.42,11.60,2.25
13-April-2018,931.15,941.40,929.10,938.85,935.733485851330871493,723849,9567,677329748.00,521654,72.07,12.30,7.70
12-April-2018,930.00,935.30,923.10,927.55,927.579473587529850158,381070,4237,353472710.00,212657,55.81,12.20,-2.45
11-April-2018,920.10,931.00,916.65,929.05,927.690465113127690424,442774,7573,410757218.00,210096,47.45,14.35,8.95
10-April-2018,918.00,922.45,913.35,916.45,917.237483617300131061,518840,5209,475899496.00,300705,57.96,9.10,-1.55
9-April-2018,912.95,917.75,911.40,916.05,915.380146698591665919,289846,3741,265319274.00,147982,51.06,6.35,3.10
6-April-2018,909.90,917.20,905.00,909.75,911.158297967335830129,421073,5884,383664158.00,210382,49.96,12.20,-0.15
5-April-2018,902.55,910.00,902.55,906.75,906.228587934378067035,465637,5262,421973561.00,271799,58.37,7.45,4.20
4-April-2018,905.50,911.15,892.35,895.10,900.862893790586593677,186330,4054,167857783.00,61876,33.21,18.80,-10.40
3-April-2018,890.00,901.00,886.10,898.80,892.119040152386262006,172194,3819,153617546.00,49256,28.60,14.90,8.80
2-April-2018,890.50,901.20,886.40,892.70,894.741046046472040173,469960,11393,420492502.00,266837,56.78,14.80,2.20
28-March-2018,895.05,896.00,881.00,882.80,887.848067925622307139,324237,7597,287873194.00,148827,45.90,15.00,-12.25
27-March-2018,905.05,910.05,897.50,899.95,903.431507807037986483,300370,3518,271363722.00,196270,65.34,12.55,-5.10
26-March-2018,892.85,904.50,892.00,901.05,898.382345008487976688,567273,9791,509628048.00,374948,66.10,12.50,8.20
23-March-2018,893.40,899.70,890.00,892.85,894.565421481250150142,416270,6301,372380748.00,180963,43.47,9.70,-0.55
22-March-2018,896.50,910.60,895.20,907.30,907.238785448366264537,810933,7468,735709870.00,470988,58.08,15.40,10.80
21-March-2018,895.80,901.95,892.00,896.35,897.261178458455311707,254485,3933,228339511.00,95436,37.50,9.95,0.55
20-March-2018,899.10,903.60,887.00,889.55,894.064116162411742261,285669,5456,255406402.00,109966,38.49,16.60,-9.55
19-March-2018,903.80,906.10,892.35,895.30,898.137556364226275407,271227,4865,243599155.00,64859,23.91,13.75,-8.50
16-March-2018,910.00,910.00,886.40,900.50,898.571969542800115264,614239,11220,551937948.00,231580,37.70,23.60,-9.50
15-March-2018,928.70,928.70,910.00,912.25,918.801613282713707674,344267,4218,316313075.00,94973,27.59,18.70,-16.45
14-March-2018,926.55,931.20,919.55,928.60,924.457335227272727272,176000,3231,162704491.00,62237,35.36,11.65,2.05
13-March-2018,929.35,935.35,921.60,930.60,929.480524624126007281,196941,3754,183052824.00,62160,31.56,13.75,1.25
12-March-2018,918.90,933.00,916.20,929.35,924.158886732288922778,288520,5429,266638322.00,105916,36.71,16.80,10.45
9-March-2018,915.00,919.00,910.00,912.05,914.285692634131555016,178146,3546,162876339.00,56249,31.57,9.00,-2.95
8-March-2018,899.70,913.90,894.30,911.60,905.155769402861051097,312892,7503,283215999.00,93946,30.03,19.60,11.90
7-March-2018,908.60,909.30,888.30,891.55,898.294410210354404341,337383,8143,303069263.00,111215,32.96,21.00,-17.05
6-March-2018,929.70,936.00,903.15,910.90,922.448878229601965874,288116,4989,265772281.00,98084,34.04,32.85,-18.80
5-March-2018,944.50,949.90,922.00,924.20,935.068594126896069783,652534,6613,610164050.00,169752,26.01,27.90,-20.30
1-March-2018,950.85,958.80,946.00,947.70,951.092438715617447347,173780,3916,165280844.00,50666,29.16,12.80,-3.15
28-February-2018,944.50,954.90,937.00,952.45,949.645651103953855851,231622,4695,219958825.00,66435,28.68,17.90,7.95
27-February-2018,939.00,955.50,938.60,949.95,949.212845854422611602,342196,6700,324816839.00,138050,40.34,16.90,10.95
26-February-2018,936.10,944.75,936.10,938.60,941.320945518897737327,197775,3734,186169750.00,75481,38.17,8.65,2.50
23-February-2018,924.20,937.00,923.75,934.00,932.125452045275484587,204349,4145,190478904.00,63783,31.21,13.25,9.80
22-February-2018,923.15,930.75,920.00,923.90,925.201031566172555138,161502,3584,149421817.00,50352,31.18,10.75,0.75
21-February-2018,927.00,931.00,922.00,928.35,926.571146009343007653,201220,3938,186444646.00,75227,37.39,9.00,1.35
20-February-2018,928.00,930.00,916.00,919.40,922.801721925892764526,183167,3405,169026823.00,49695,27.13,14.00,-8.60
19-February-2018,920.30,930.60,914.40,925.85,921.818309458939943503,239308,5138,220598496.00,61200,25.57,16.20,5.55
16-February-2018,937.35,942.00,918.65,921.70,929.693424572317262830,241125,4569,224172327.00,54927,22.78,23.35,-15.65
15-February-2018,936.05,945.00,928.30,934.05,937.613761283081852104,312747,5587,293235891.00,82005,26.22,16.70,-2.00
14-February-2018,921.65,941.50,920.80,932.40,931.253805639711023071,429100,8212,399601008.00,96537,22.50,20.70,10.75
12-February-2018,901.10,918.00,901.10,914.70,910.316045248153251858,354136,5152,322375683.00,108700,30.69,16.90,13.60
9-February-2018,891.95,902.25,886.50,897.95,895.889200146155586101,402311,5784,360426080.00,153639,38.19,15.75,6.00
8-February-2018,896.35,910.00,892.05,903.60,903.311757926038813688,417327,6958,376976386.00,101494,24.32,17.95,7.25
7-February-2018,900.55,905.50,890.55,894.00,898.374157048502234972,374725,7365,336643256.00,118733,31.69,14.95,-6.55
