Date,Open,High,Low,Close,Adj Close,Volume
2015-03-01,558.995300,576.327698,542.729919,546.499573,546.499573,38647600
2015-04-01,547.097961,569.576233,519.583496,537.340027,537.340027,42376700
2015-05-01,538.429993,544.190002,521.085022,532.109985,532.109985,31865900
2015-06-01,536.789978,543.739990,520.500000,520.510010,520.510010,34320500
2015-07-01,524.729980,678.640015,515.179993,625.609985,625.609985,63319000
2015-08-01,625.340027,674.900024,565.049988,637.609985,637.609985,61434900
2015-09-01,602.359985,650.900024,589.380005,608.419983,608.419983,47955000
2015-10-01,608.369995,730.000000,599.849976,710.809998,710.809998,49438600
2015-11-01,711.059998,762.708008,705.849976,742.599976,742.599976,33934800
2015-12-01,747.109985,779.979980,724.169983,758.880005,758.880005,43100300
2016-01-01,743.000000,752.000000,673.260010,742.950012,742.950012,46561200
2016-02-01,750.460022,789.869995,663.059998,697.770020,697.770020,64367000
2016-03-01,703.619995,757.880005,685.340027,744.950012,744.950012,41742400
2016-04-01,738.599976,769.900024,689.000000,693.010010,693.010010,42154000
2016-05-01,697.630005,739.729980,689.010010,735.719971,735.719971,34996500
2016-06-01,734.530029,737.210022,663.283997,692.099976,692.099976,39362500
2016-07-01,692.200012,778.549988,688.215027,768.789978,768.789978,29914800
2016-08-01,761.090027,789.750000,761.090027,767.049988,767.049988,26385400
2016-09-01,769.250000,789.849976,754.000000,777.289978,777.289978,27551400
2016-10-01,774.250000,816.679993,769.500000,784.539978,784.539978,33956300
2016-11-01,782.890015,795.632996,727.539978,758.039978,758.039978,42642200
2016-12-01,757.440002,804.380005,737.025024,771.820007,771.820007,32097300
2017-01-01,778.809998,841.950012,775.799988,796.789978,796.789978,33200100
2017-02-01,799.679993,833.450012,791.190002,823.210022,823.210022,25683600
2017-03-01,828.849976,853.500000,803.369995,829.559998,829.559998,33835100
2017-04-01,829.219971,916.849976,817.020020,905.960022,905.960022,25218700
2017-05-01,901.940002,979.270020,901.450012,964.859985,964.859985,32180100
2017-06-01,968.950012,988.250000,908.309998,908.729980,908.729980,43587600
2017-07-01,912.179993,986.200012,894.789978,930.500000,930.500000,36679200
2017-08-01,932.380005,941.979980,903.400024,939.330017,939.330017,27958000
2017-09-01,941.130005,959.786011,909.700012,959.109985,959.109985,28053800
2017-10-01,959.979980,1048.390015,947.840027,1016.640015,1016.640015,31779700
2017-11-01,1017.210022,1062.375000,1013.010010,1021.409973,1021.409973,24265500
2017-12-01,1015.799988,1078.489990,988.280029,1046.400024,1046.400024,28163700
2018-01-01,1048.339966,1186.890015,1045.229980,1169.939941,1169.939941,28738400
2018-02-01,1162.609985,1174.000000,992.559998,1104.729980,1104.729980,42382000
2018-03-01,1107.869995,1177.050049,980.640015,1031.790039,1031.790039,45353300
2018-04-01,1022.820007,1094.165039,990.369995,1017.330017,1017.330017,41715900
2018-05-01,1013.659973,1110.750000,1006.289978,1084.989990,1084.989990,31849400
2018-06-01,1099.349976,1186.286011,1096.010010,1115.650024,1115.650024,32096000
2018-07-01,1099.000000,1273.890015,1093.800049,1217.260010,1217.260010,31940100
2018-08-01,1228.000000,1256.500000,1188.239990,1218.189941,1218.189941,28808400
2018-09-01,1204.270020,1212.989990,1146.910034,1193.469971,1193.469971,28862400
2018-10-01,1199.890015,1209.959961,995.830017,1076.770020,1076.770020,48494700
2018-11-01,1075.800049,1095.569946,996.020020,1094.430054,1094.430054,36735100
2018-12-01,1123.140015,1124.650024,970.109985,1035.609985,1035.609985,40257600
2019-01-01,1016.570007,1117.329956,1014.070007,1116.369995,1116.369995,30714000
2019-02-01,1112.400024,1147.000000,1086.000000,1119.920044,1119.920044,28932700
2019-03-01,1124.900024,1231.790039,1123.300049,1173.310059,1173.310059,31660000
2019-04-01,1184.099976,1289.270020,1175.000000,1188.479980,1188.479980,27858700
2019-05-01,1188.050049,1190.849976,1100.180054,1103.630005,1103.630005,33317400
2019-06-01,1065.500000,1124.109985,1025.000000,1080.910034,1080.910034,34096800
2019-07-01,1098.000000,1265.550049,1093.703003,1216.680054,1216.680054,32949200
2019-08-01,1214.030029,1234.109985,1140.140015,1188.099976,1188.099976,28868300
2019-09-01,1177.030029,1248.300049,1163.199951,1219.000000,1219.000000,26899400
2019-10-01,1219.000000,1299.310059,1162.430054,1260.109985,1260.109985,28758300
2019-11-01,1265.000000,1335.529053,1260.500000,1304.959961,1304.959961,24923400
2019-12-01,1301.000000,1365.000000,1279.000000,1337.020020,1337.020020,27357100
2020-01-01,1341.550049,1503.213989,1341.550049,1434.229980,1434.229980,33691600
2020-02-01,1462.000000,1490.000000,1426.300049,1479.229980,1479.229980,11825100
2020-02-07,1467.300049,1485.839966,1466.349976,1479.229980,1479.229980,1129751
