Date,Open,High,Low,Close,Adj Close,Volume
2015-03-01,67.714287,68.607140,58.572857,59.527142,59.527142,327866000
2015-04-01,59.642857,82.304283,58.464287,79.500000,79.500000,508463900
2015-05-01,79.855713,90.205711,78.894287,89.151428,89.151428,280030800
2015-06-01,88.837143,100.891426,87.944283,93.848572,93.848572,469260400
2015-07-01,94.805717,117.879997,92.284286,114.309998,114.309998,406357500
2015-08-01,114.599998,129.289993,85.500000,115.029999,115.029999,469661800
2015-09-01,109.349998,111.239998,93.550003,103.260002,103.260002,497401200
2015-10-01,102.910004,115.830002,96.260002,108.379997,108.379997,446204400
2015-11-01,109.199997,126.599998,101.860001,123.330002,123.330002,320321800
2015-12-01,124.470001,133.270004,113.849998,114.379997,114.379997,319939200
2016-01-01,109.000000,122.180000,90.110001,91.839996,91.839996,488193200
2016-02-01,91.790001,97.480003,79.949997,93.410004,93.410004,389268900
2016-03-01,94.580002,104.910004,93.610001,102.230003,102.230003,311333700
2016-04-01,102.930000,111.849998,88.209999,90.029999,90.029999,340174300
2016-05-01,90.410004,104.000000,85.739998,102.570000,102.570000,264997900
2016-06-01,101.500000,102.150002,84.809998,91.480003,91.480003,218216500
2016-07-01,95.000000,101.269997,84.500000,91.250000,91.250000,320138000
2016-08-01,91.230003,98.849998,90.500000,97.449997,97.449997,182611000
2016-09-01,97.809998,100.349998,93.260002,98.550003,98.550003,169670600
2016-10-01,98.000000,129.289993,97.629997,124.870003,124.870003,274097800
2016-11-01,124.980003,125.830002,110.680000,117.000000,117.000000,147513000
2016-12-01,117.519997,129.070007,113.949997,123.800003,123.800003,128528700
2017-01-01,124.959999,143.460007,124.309998,140.710007,140.710007,181814100
2017-02-01,141.199997,145.949997,139.050003,142.130005,142.130005,91444800
2017-03-01,142.839996,148.289993,138.259995,147.809998,147.809998,110692700
2017-04-01,146.699997,153.520004,138.660004,152.199997,152.199997,149779000
2017-05-01,151.910004,164.750000,151.610001,163.070007,163.070007,116795800
2017-06-01,163.520004,166.869995,147.300003,149.410004,149.410004,135699700
2017-07-01,149.800003,191.500000,144.250000,181.660004,181.660004,185144700
2017-08-01,182.490005,184.619995,164.229996,174.710007,174.710007,136534400
2017-09-01,175.550003,189.949997,172.440002,181.350006,181.350006,111427900
2017-10-01,182.110001,204.380005,176.580002,196.429993,196.429993,208657800
2017-11-01,197.240005,202.479996,184.320007,195.509995,195.509995,161719700
2017-12-01,186.990005,194.490005,178.380005,191.960007,191.960007,115103700
2018-01-01,196.100006,286.809998,195.419998,270.299988,270.299988,238377600
2018-02-01,266.410004,297.359985,236.110001,291.380005,291.380005,184585800
2018-03-01,292.750000,333.980011,275.899994,295.350006,295.350006,263449400
2018-04-01,291.940002,338.820007,271.220001,312.459991,312.459991,262006000
2018-05-01,310.359985,356.100006,305.730011,351.600006,351.600006,142050800
2018-06-01,353.880005,423.209991,352.820007,391.429993,391.429993,244031800
2018-07-01,385.450012,419.769989,328.000000,337.450012,337.450012,305393800
2018-08-01,335.869995,376.809998,310.929993,367.679993,367.679993,213122300
2018-09-01,366.470001,383.200012,335.829987,374.130005,374.130005,170832100
2018-10-01,375.850006,386.799988,271.209991,301.779999,301.779999,363589800
2018-11-01,304.589996,332.049988,250.000000,286.130005,286.130005,257126400
2018-12-01,293.190002,298.720001,231.229996,267.660004,267.660004,234310000
2019-01-01,259.279999,358.850006,256.579987,339.500000,339.500000,306616400
2019-02-01,337.179993,371.489990,336.500000,358.100006,358.100006,148192100
2019-03-01,362.260010,379.000000,342.470001,356.559998,356.559998,144843100
2019-04-01,359.000000,384.799988,342.269989,370.540009,370.540009,165079400
2019-05-01,374.000000,385.989990,341.390015,343.279999,343.279999,125298300
2019-06-01,343.559998,375.000000,332.649994,367.320007,367.320007,111052000
2019-07-01,373.500000,384.760010,305.809998,322.989990,322.989990,196671300
2019-08-01,324.250000,328.579987,287.200012,293.750000,293.750000,137014900
2019-09-01,290.820007,301.549988,252.279999,267.619995,267.619995,175411300
2019-10-01,267.350006,308.750000,257.010010,287.410004,287.410004,231556400
2019-11-01,288.700012,316.820007,281.140015,314.660004,314.660004,113645900
2019-12-01,314.390015,338.000000,292.019989,323.570007,323.570007,124723600
2020-01-01,326.100006,359.850006,321.200012,345.089996,345.089996,169874000
2020-02-01,347.239990,375.250000,346.279999,366.769989,366.769989,28577500
2020-02-07,365.040009,371.790009,363.570007,366.769989,366.769989,4385227
