"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"WIPRO","01-Jan-2018","28-Mar-2018","CE","210","0","0","0","101.35","0","109.75","0","0","0","0","0","316.55"
"WIPRO","01-Jan-2018","28-Mar-2018","CE","370","0","0","0","0.65","0","1.4","0","0","0","0","0","316.55"
"WIPRO","01-Jan-2018","28-Mar-2018","CE","220","0","0","0","91.5","0","99.9","0","0","0","0","0","316.55"
"WIPRO","01-Jan-2018","28-Mar-2018","CE","225","0","0","0","86.6","0","94.95","0","0","0","0","0","316.55"
"WIPRO","01-Jan-2018","28-Mar-2018","CE","230","0","0","0","81.65","0","90.05","0","0","0","0","0","316.55"
"WIPRO","01-Jan-2018","28-Mar-2018","CE","235","0","0","0","76.75","0","85.15","0","0","0","0","0","316.55"
"WIPRO","01-Jan-2018","28-Mar-2018","CE","240","0","0","0","71.85","0","80.2","0","0","0","0","0","316.55"
"WIPRO","01-Jan-2018","28-Mar-2018","CE","245","0","0","0","66.95","0","75.3","0","0","0","0","0","316.55"
"WIPRO","01-Jan-2018","28-Mar-2018","CE","250","0","0","0","62.1","0","70.4","0","0","0","0","0","316.55"
"WIPRO","01-Jan-2018","28-Mar-2018","CE","255","0","0","0","57.25","0","65.55","0","0","0","0","0","316.55"
"WIPRO","01-Jan-2018","28-Mar-2018","CE","260","0","0","0","52.5","0","60.7","0","0","0","0","0","316.55"
"WIPRO","01-Jan-2018","28-Mar-2018","CE","265","0","0","0","47.8","0","55.95","0","0","0","0","0","316.55"
"WIPRO","01-Jan-2018","28-Mar-2018","CE","270","0","0","0","43.2","0","51.2","0","0","0","0","0","316.55"
"WIPRO","01-Jan-2018","28-Mar-2018","CE","275","0","0","0","38.7","0","46.6","0","0","0","0","0","316.55"
"WIPRO","01-Jan-2018","28-Mar-2018","CE","280","0","0","0","34.4","0","42.1","0","0","0","0","0","316.55"
"WIPRO","01-Jan-2018","28-Mar-2018","CE","285","0","0","0","30.3","0","37.75","0","0","0","0","0","316.55"
"WIPRO","01-Jan-2018","28-Mar-2018","CE","290","0","0","0","26.4","0","33.55","0","0","0","0","0","316.55"
"WIPRO","01-Jan-2018","28-Mar-2018","CE","295","0","0","0","22.8","0","29.6","0","0","0","0","0","316.55"
