"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","225","0","0","0","106.75","0","105.65","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","390","0","0","0","5.75","0","4.2","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","235","0","0","0","97.1","0","95.95","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","240","0","0","0","92.35","0","91.1","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","245","0","0","0","87.6","0","86.3","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","250","0","0","0","82.95","0","81.55","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","255","0","0","0","78.3","0","76.85","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","260","0","0","0","73.75","0","72.25","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","265","0","0","0","69.3","0","67.65","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","270","0","0","0","64.95","0","63.2","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","275","0","0","0","60.7","0","58.85","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","280","0","0","0","56.55","0","54.6","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","285","0","0","0","52.55","0","50.45","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","290","0","0","0","48.7","0","46.5","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","295","0","0","0","45","0","42.7","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","300","0","0","0","41.4","0","39.05","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","305","0","0","0","38","0","35.6","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","310","0","0","0","34.8","0","32.3","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","315","0","0","0","31.75","0","29.2","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","320","0","0","0","28.9","0","26.3","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","325","0","0","0","26.25","0","23.65","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","330","0","0","0","23.7","0","21.15","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","335","0","0","0","21.4","0","18.85","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","340","0","0","0","19.25","0","16.7","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","345","0","0","0","17.25","0","14.8","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","350","0","0","0","15.45","0","13","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","355","0","0","0","13.75","0","11.45","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","360","0","0","0","12.25","0","10","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","365","0","0","0","10.85","0","8.75","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","370","0","0","0","9.6","0","7.6","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","375","0","0","0","8.5","0","6.6","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","380","0","0","0","7.45","0","5.7","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","385","0","0","0","6.55","0","4.9","0","0","0","0","0","326.65"
"WIPRO","01-Jan-2019","28-Mar-2019","CE","230","0","0","0","101.95","0","100.8","0","0","0","0","0","326.65"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","225","0","0","0","106.75","0","104.5","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","390","0","0","0","5.75","0","3.6","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","235","0","0","0","97.1","0","94.75","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","240","0","0","0","92.35","0","89.9","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","245","0","0","0","87.6","0","85.1","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","250","0","0","0","82.95","0","80.35","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","255","0","0","0","78.3","0","75.6","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","260","0","0","0","73.75","0","70.95","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","265","0","0","0","69.3","0","66.4","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","270","0","0","0","64.95","0","61.9","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","275","0","0","0","60.7","0","57.5","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","280","0","0","0","56.55","0","53.25","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","285","0","0","0","52.55","0","49.1","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","290","0","0","0","48.7","0","45.1","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","295","0","0","0","45","0","41.3","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","300","0","0","0","41.4","0","37.65","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","305","0","0","0","38","0","34.15","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","310","0","0","0","34.8","0","30.9","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","315","0","0","0","31.75","0","27.8","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","320","0","0","0","28.9","0","24.95","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","325","0","0","0","26.25","0","22.25","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","330","0","0","0","23.7","0","19.8","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","335","0","0","0","21.4","0","17.55","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","340","0","0","0","19.25","0","15.5","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","345","0","0","0","17.25","0","13.6","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","350","0","0","0","15.45","0","11.9","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","355","0","0","0","13.75","0","10.35","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","360","0","0","0","12.25","0","9","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","365","0","0","0","10.85","0","7.8","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","370","0","0","0","9.6","0","6.75","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","375","0","0","0","8.5","0","5.8","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","380","0","0","0","7.45","0","4.95","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","385","0","0","0","6.55","0","4.2","0","0","0","0","0","325.55"
"WIPRO","02-Jan-2019","28-Mar-2019","CE","230","0","0","0","101.95","0","99.65","0","0","0","0","0","325.55"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","225","0","0","0","106.75","0","104.4","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","230","0","0","0","101.95","0","99.55","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","235","0","0","0","97.1","0","94.65","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","240","0","0","0","92.35","0","89.8","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","245","0","0","0","87.6","0","84.95","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","250","0","0","0","82.95","0","80.15","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","255","0","0","0","78.3","0","75.45","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","260","0","0","0","73.75","0","70.75","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","265","0","0","0","69.3","0","66.1","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","270","0","0","0","64.95","0","61.6","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","275","0","0","0","60.7","0","57.15","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","280","0","0","0","56.55","0","52.85","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","285","0","0","0","52.55","0","48.65","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","290","0","0","0","48.7","0","44.6","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","295","0","0","0","45","0","40.75","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","300","0","0","0","41.4","0","37.05","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","305","0","0","0","38","0","33.55","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","310","0","0","0","34.8","0","30.2","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","315","0","0","0","31.75","0","27.1","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","320","0","0","0","28.9","0","24.25","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","325","0","0","0","26.25","0","21.55","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","330","0","0","0","23.7","0","19.05","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","335","0","0","0","21.4","0","16.8","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","340","0","0","0","19.25","0","14.75","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","345","0","0","0","17.25","0","12.9","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","350","0","0","0","15.45","0","11.2","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","355","0","0","0","13.75","0","9.7","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","360","0","0","0","12.25","0","8.35","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","365","0","0","0","10.85","0","7.2","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","370","0","0","0","9.6","0","6.15","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","375","0","0","0","8.5","0","5.25","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","380","0","0","0","7.45","0","4.45","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","385","0","0","0","6.55","0","3.75","0","0","0","0","0","325.5"
"WIPRO","03-Jan-2019","28-Mar-2019","CE","390","0","0","0","5.75","0","3.2","0","0","0","0","0","325.5"
